Ball,Condition,Ball_Speed_mph,Carry_yd,Total_yd,Spin_rpm
"Kirkland Performance+ Yellow",Driver Fast,169.22,290.69,321.11,2473
"Kirkland Performance+ Yellow",Driver Mid,149.41,256.59,284.12,2839
"Kirkland Performance+ Yellow",Wedge 35,42.23,34.84,41.12,4599
"Kirkland Performance+ Yellow",Wedge Full (Dry),81.81,99.17,103.67,9688
"Maxfli Tour",7 Iron Fast,123.93,185.55,196.44,6105
"Maxfli Tour",7 Iron Mid,111.89,154.77,163.76,5976
"Maxfli Tour",Driver Fast,168.68,284.14,314,2286
"Maxfli Tour",Driver Mid,148.78,256.27,287.33,2742
"Maxfli Tour",Wedge 35,42.83,35.02,41.53,5630
"Maxfli Tour",Wedge Full (Dry),82.83,100.28,104.5,10518
"Maxfli Tour S",7 Iron Fast,123.75,183.11,193.28,6037
"Maxfli Tour S",7 Iron Mid,111.8,159.63,169.94,5702
"Maxfli Tour S",Driver Fast,167.73,281.37,313.87,2203
"Maxfli Tour S",Driver Mid,148.44,253.63,285.21,2616
"Maxfli Tour S",Wedge 35,42.98,35.33,41.81,5513
"Maxfli Tour S",Wedge Full (Dry),83.14,100.83,105.07,10343
"Maxfli Tour X",7 Iron Fast,124.5,183.67,193.2,6557
"Maxfli Tour X",7 Iron Mid,112.49,153.11,160.65,6071
"Maxfli Tour X",Driver Fast,170.32,291.18,320.62,2294
"Maxfli Tour X",Driver Mid,150.1,260.95,290.77,2778
"Maxfli Tour X",Wedge 35,42.75,34.79,41.23,5850
"Maxfli Tour X",Wedge Full (Dry),82.99,100.07,104.15,10723
"Maxfli Tour X LS",7 Iron Fast,123.38,181.28,190.86,6479
"Maxfli Tour X LS",7 Iron Mid,111.53,157.91,168.68,6277
"Maxfli Tour X LS",Driver Fast,168.84,291.02,322.35,2469
"Maxfli Tour X LS",Driver Mid,149.01,257.28,286.76,2789
"Maxfli Tour X LS",Wedge 35,42.42,34.47,40.71,5693
"Maxfli Tour X LS",Wedge Full (Dry),82.28,99.41,103.62,10559
"Mizuno Pro S",7 Iron Fast,123.33,186.11,197.23,6092
"Mizuno Pro S",7 Iron Mid,111.89,156.67,165.43,5945
"Mizuno Pro S",Driver Fast,168.71,288.87,324.54,2323
"Mizuno Pro S",Driver Mid,148.79,255.74,286.79,2806
"Mizuno Pro S",Wedge 35,42.12,34.47,40.77,4839
"Mizuno Pro S",Wedge Full (Dry),82.07,99.62,104,10116
"Mizuno Pro X",7 Iron Fast,123.49,181.08,190.57,6625
"Mizuno Pro X",7 Iron Mid,111.52,157.3,167.02,6283
"Mizuno Pro X",Driver Fast,170.15,290.01,318.76,2428
"Mizuno Pro X",Driver Mid,149.89,259.53,288.45,2967
"Mizuno Pro X",Wedge 35,42.52,34.65,41.22,5450
"Mizuno Pro X",Wedge Full (Dry),82.51,99.62,103.8,10606
"PXG Xtreme Tour",7 Iron Fast,124.3,182.47,191.76,6328
"PXG Xtreme Tour",7 Iron Mid,112.35,157.6,166.78,6097
"PXG Xtreme Tour",Driver Fast,169.26,286.93,320.5,2410
"PXG Xtreme Tour",Driver Mid,149.58,254.93,283.77,2743
"PXG Xtreme Tour",Wedge 35,42.38,35.19,41.45,4329
"PXG Xtreme Tour",Wedge Full (Dry),82.19,99.87,104.45,9506
"PXG Xtreme Tour X",7 Iron Fast,124.12,179.85,188.64,6582
"PXG Xtreme Tour X",7 Iron Mid,112.09,156.12,165.25,6288
"PXG Xtreme Tour X",Driver Fast,169.66,289.47,318.87,2410
"PXG Xtreme Tour X",Driver Mid,149.7,259.81,288.78,2899
"PXG Xtreme Tour X",Wedge 35,42.62,34.92,41.33,5310
"PXG Xtreme Tour X",Wedge Full (Dry),82.67,99.86,104.01,10547
"Snell PR3",7 Iron Fast,123.8,181.35,190.88,6369
"Snell PR3",7 Iron Mid,111.99,159.35,170.41,6186
"Snell PR3",Driver Fast,169.54,294.45,322.98,2378
"Snell PR3",Driver Mid,149.81,251.91,279.17,2776
"Snell PR3",Wedge 35,41.83,34.46,40.65,4184
"Snell PR3",Wedge Full (Dry),81.35,98.74,103.67,8956
"Snell PR4",7 Iron Fast,123.35,180.85,190.87,6272
"Snell PR4",7 Iron Mid,111.66,158.02,168.17,5972
"Snell PR4",Driver Fast,168.95,294.83,323.38,2281
"Snell PR4",Driver Mid,148.96,255.88,285.14,2777
"Snell PR4",Wedge 35,42.22,34.49,40.89,5009
"Snell PR4",Wedge Full (Dry),81.94,98.88,103.11,10267
"Srixon Q-Star Tour",7 Iron Fast,123.62,182.49,192.67,6036
"Srixon Q-Star Tour",7 Iron Mid,112.03,155.69,165.37,5925
"Srixon Q-Star Tour",Driver Fast,166.57,282.55,313.56,2157
"Srixon Q-Star Tour",Driver Mid,147.67,256.99,287.85,2622
"Srixon Q-Star Tour",Wedge 35,43.08,35.4,41.94,5702
"Srixon Q-Star Tour",Wedge Full (Dry),83.01,100.62,104.87,10169
"Srixon Q-Star Ultispeed",7 Iron Fast,124.23,184.07,194.44,6213
"Srixon Q-Star Ultispeed",7 Iron Mid,112.29,158.86,169.2,5927
"Srixon Q-Star Ultispeed",Driver Fast,167.53,274.24,304.96,2202
"Srixon Q-Star Ultispeed",Driver Mid,148.45,251.31,284.51,2521
"Srixon Q-Star Ultispeed",Wedge 35,42.61,35.76,42.18,4009
"Srixon Q-Star Ultispeed",Wedge Full (Dry),81.12,98.15,104.5,6670
"Srixon Soft Feel",7 Iron Fast,123.62,181.53,190.98,6091
"Srixon Soft Feel",7 Iron Mid,112.04,161.15,171.65,5886
"Srixon Soft Feel",Driver Fast,164.93,263.49,299.33,1975
"Srixon Soft Feel",Driver Mid,146.8,245.45,281.42,2315
"Srixon Soft Feel",Wedge 35,42.97,36,42.3,4595
"Srixon Soft Feel",Wedge Full (Dry),81.63,98.65,104.16,7931
"Srixon Z-Star",7 Iron Fast,123.69,183.49,194.05,6523
"Srixon Z-Star",7 Iron Mid,111.99,156.96,166.32,6263
"Srixon Z-Star",Driver Fast,168.24,283.89,316.05,2399
"Srixon Z-Star",Driver Mid,148.81,254.09,285.67,2804
"Srixon Z-Star",Wedge 35,42.85,34.86,41.43,5871
"Srixon Z-Star",Wedge Full (Dry),83.08,100.6,104.83,10512
"Srixon Z-Star Diamond",7 Iron Fast,123.25,177.8,186.17,7015
"Srixon Z-Star Diamond",7 Iron Mid,111.57,155.99,165.28,6613
"Srixon Z-Star Diamond",Driver Fast,168.6,286.7,316.18,2508
"Srixon Z-Star Diamond",Driver Mid,149.03,257.38,286.01,2999
"Srixon Z-Star Diamond",Wedge 35,42.79,34.69,41.15,5953
"Srixon Z-Star Diamond",Wedge Full (Dry),82.6,99.47,103.52,10971
"Srixon Z-Star XV",7 Iron Fast,124.08,182.89,191.54,6524
"Srixon Z-Star XV",7 Iron Mid,112.41,158.67,169.14,6362
"Srixon Z-Star XV",Driver Fast,169.29,293.29,325.21,2471
"Srixon Z-Star XV",Driver Mid,149.61,259.06,287.07,2908
"Srixon Z-Star XV",Wedge 35,42.39,34.43,40.86,5596
"Srixon Z-Star XV",Wedge Full (Dry),82.3,99.63,103.9,10438
"TaylorMade SpeedSoft",7 Iron Fast,124.06,182.32,191.88,6017
"TaylorMade SpeedSoft",7 Iron Mid,112.44,159.51,169.76,5830
