 ,Layers,Compression,Cover,Dimples,Chipping Spin,Chipping Launch, Pitch Spin,Pitch Launch,9 Iron Carry,9 Iron Distance,9I Club Speed,9I Ball Speed,9 Iron Spin ,9I Smash Factor,9 Iron Launch,7 Iron Carry,7 Iron Distance,7 Iron Club Speed,7 Iron Ball Speed,7 Iron Spin,7 Iron Smash,7 Iron Launch,4H Carry,4H Distance,4H Club speed,4H Ball Speed,4H Spin,4H Smash,4H Launch,Driver Carry,Driver Distance,Driver Club Speed,Driver Ball Speed,Driver Spin,Smash,Launch,Accuracy,Consistency,Durability,Forgiveness,Price,Link
Wilson Chaos,2,95,Ionomer,400,5270,31.2,5883,34,140.9,142.1,78.6,103.7,6230,1.32,19.9,167.4,170.6,84.1,117.6,5261,1.4,13.5,191.7,209,89.8,131.2,2593,1.46,10.3,229.9,244.1,96,142,2179,1.48,13.3,6/10,8/10,6/10,6/10,$25 (24 balls),WILSON CHAOS
Snell Prime PR4,4,95,Urethane,332,4444,25.2,6781,24.8,140.6,142.7,78.4,103.5,5862,1.32,17.1,164.8,169,84.3,115.8,5043,1.37,13.8,191.4,205.8,89.8,130.8,2935,1.46,10.2,231,244.7,95.4,142.5,1950,1.49,14.1,5/10,5/10,7/10,3/10,$35,SNELL PR4
Seed SD-05,3,75,Urethane,332,5015,26.2,7535,26.6,143.4,145,78.5,104.3,6068,1.33,18,169.6,173.6,84.7,117.8,4903,1.39,12.8,197.3,205.6,90.5,130.6,3634,1.44,10.1,233.3,245.2,95.9,140.6,2139,1.47,15.1,7/10,6/10,9/10,5/10,$29-39,SEED SD 05
Bigga Pro,3,95,Urethane,N/A,4923,28.1,7749,26.8,143.3,145.3,78.2,104.9,5813,1.34,17.1,169.3,175.6,84.2,117.7,4297,1.4,13.6,195.2,209.8,90.3,132.4,2854,1.47,9.8,233.9,245.3,95.4,143,2208,1.5,16.3,8/10,7/10,10/10,8/10,$40,BIGGA PRO
Srixon Q Star Tour Divide,3,70,Urethane,338,4768,26.8,7738,24.4,140.6,142.2,78.8,103.4,6045,1.31,18,167.6,170.8,84.5,117.4,5353,1.39,13.9,192.7,204.3,90.3,130,3230,1.44,10.7,231.4,245.5,96,142.8,1936,1.49,13.6,9/10,8/10,9/10,7/10,$40,QST DIVIDE
Maxfli Tour S,3,85,Urethane,336,4839,23.8,6935,23.3,141.9,144.1,78.7,103.9,5675,1.32,17.4,173.1,183.3,84.9,118.8,3397,1.4,11.9,196.7,215.6,90.6,134.2,2528,1.48,8.9,229.7,245.6,95.6,141.8,1971,1.48,13.1,8/10,9/10,9/10,5/10,$30-40,MAXFLI TOUR S
Piss Missile Rainmaker,3,110,Urethane,332,4185,27.2,8341,24.3,140.9,142.9,78.5,104.8,6434,1.34,16.5,160.1,168.4,84.3,116.2,4579,1.38,12.1,176.6,196,89.6,127.9,2954,1.43,8.7,230.9,246.6,95.5,142.6,1936,1.49,13.7,4/10,3/10,1/10,4/10,$48,RAINMAKER
Callaway Chrome Tour X,4,110,Urethane,332,4559,22.3,6955,22.6,140.6,142.7,78.4,103.7,5909,1.32,16.8,166.6,171.7,84.4,117.2,4857,1.39,12.7,187.3,203.6,90.1,131.2,2998,1.46,9.3,234,247.3,95.7,143,1881,1.49,14.5,8/10,7/10,7/10,4/10,$58,CHROME TOUR X
Snell Prime PR3,3,95,Urethane,332,4045,24.5,6437,24.5,140.9,142.5,78.1,103.1,5897,1.32,18.8,170.3,173.9,84.6,117.1,4909,1.38,15.7,196.8,209.4,90.7,131.5,2924,1.45,11.4,235.1,247.9,95,142.4,1801,1.5,15.3,5/10,7/10,7/10,6/10,$35,SNELL PR3
Titleist AVX 2026,3,88,Urethane,348,4940,29.3,7672,27.3,145.3,146.5,79,106.5,6247,1.35,18.8,172.5,176.2,84.5,120.1,5072,1.42,12.3,195.9,202.4,90.7,130.7,4080,1.44,10.9,238.2,248.2,95.5,140.8,2180,1.47,16.3,4/10,6/10,6/10,7/10,$50,TITLEIST AVX
Seed SD-02,4,97,Urethane,336,5501,25.3,7912,26.4,142.8,144.4,78.1,104.9,6056,1.34,17.9,172.7,175.6,84,121,5343,1.44,13.6,198.6,206,90.9,132,3883,1.45,10.5,236.6,248.7,95.8,143.2,2132,1.49,15.6,7/10,8/10,9/10,7/10,$29-39,SEED SD 02
Callaway Chrome Soft ,3,79,Urethane,332,4450,25,7895,27.5,142.8,145.4,78.3,104.2,5564,1.33,17,168.7,175.3,84.9,117.4,4247,1.38,13.3,194.8,207.6,89.2,131.3,3068,1.47,10.5,237.3,248.8,95.4,142.9,1992,1.5,15.5,6/10,7/10,9/10,8/10,$58,CHROME SOFT
Srixon Ultispeed Line,3,92,Ionomer,338,4458,26.4,7324,24.5,136.5,139,78.1,101.1,5736,1.3,17.8,167.5,170.6,84.3,116.7,5029,1.39,14.7,195.2,207.8,90.3,130.4,2908,1.44,11.3,237,248.9,95.8,142.6,1888,1.49,15.7,7/10,9/10,5/10,8/10,$30,ULTISPEED LINE
Callaway Chrome Tour TD 2025,4,113,Urethane,332,4585,27,7755,25,141.1,142.9,78.1,104.1,6101,1.33,16.9,167.8,173.1,84.4,118,4848,1.4,13,190.1,204.4,89.3,131.3,3168,1.47,9.8,236.3,249.6,95.7,144.6,1957,1.51,14,7/10,5/10,6/10,4/10,$58,TRIPLE DIAMOND
Seed SD-X1,3,99,Urethane,318,5625,24.9,7733,25.9,146,147.6,78.9,106.3,5953,1.35,17.9,175.6,178.9,84.3,121.2,5009,1.44,13.7,200,212.1,90.8,132.4,3053,1.46,9.3,239.4,249.9,95.7,141.4,2181,1.48,16.2,9/10,10/10,9/10,6/10,$29-39,SEED SD X1
Callaway Chrome Tour ,4,91,Urethane,332,4332,23.8,6812,24.4,144.3,145.9,78.8,104.9,5896,1.33,18.4,168.5,173.2,84.9,116.7,4662,1.37,14.7,195.6,210.2,90.1,132.3,2805,1.47,10.3,240.2,251.9,95.2,143.4,1777,1.51,16.3,7/10,8/10,8/10,6/10,$58,CHROME TOUR
Maxfli Tour X,4,103,Urethane,336,5479,29.5,7959,27.3,145.5,147.1,78.5,106.1,5913,1.35,18.7,174.8,180.4,84.7,120.7,4513,1.42,12.6,196.7,212.7,90.8,133.6,2908,1.47,8.7,243.6,253.5,95.8,144.2,2311,1.5,15.4,5/10,5/10,8/10,4/10,$30-40,MAXFLI X
Maxfli Tour,3,100,Urethane,318,3775,23.3,7056,24.4,141.9,143.8,78.1,104.2,5877,1.33,17.2,168.8,173.2,84.2,117.9,4885,1.4,13.2,196.8,209.6,90.8,131.3,3019,1.45,9.7,245.3,257,95.7,144.7,2012,1.51,16,9/10,8/10,9/10,4/10,$30-40,MAXFLI TOUR
