 ,Layers,  Compression ,50 Yard Spin,50 YD Launch,PW Carry,PW Distance,PW Club Speed,PW Ball Speed,PW Spin ,PW Smash Factor,PW Launch,7 Iron Carry,7 Iron Distance,7 Iron Club Speed,7 Iron Ball Speed,7 Iron Spin,7 Iron Smash,7 Iron Launch,Driver Carry,Driver Distance,Driver Club Speed,Driver Ball Speed,Driver Spin,Driver Smash,Driver Launch,Green Spin,Accuracy,Consistency,Durability,Feel,Miss Hit Feel,Forgiveness,Value
Trust Aurora 3.0,3,95,8420,30,122.1,122.6,79.7,96.2,7465,1.21,22.1,163.5,165.2,84.9,116.2,5490,1.37,16.9,227.5,236.5,98.1,141.7,2373,1.45,15.5,65%,10/10,8/10,6/10,8/10,4/10,6/10,8/10
Snyder Soft Plus,2,88,8197,31.5,118,118.6,78.6,93.6,7292,1.19,22.7,161.1,162.6,86,114.9,5520,1.35,18.3,225.9,236.6,99,141.8,2096,1.43,14.1,50%,10/10,8/10,9/10,8/10,8/10,8/10,3/10
Volvik Radiance,2,63,4775,35.2,124,124.6,79.1,96.4,6014,1.22,28.2,162.1,163.5,84.8,116.2,5796,1.37,17.2,229.5,236.8,98,141.6,2406,1.44,17.1,5%,6/10,8/10,8/10,8/10,8/10,8/10,7/10
Callaway SuperSoft 23,2,,7023,26.5,123.1,123.6,78.3,96.1,6871,1.23,24,166,167.5,86.1,117.1,5413,1.36,18.5,229.9,236.9,96.7,140.2,2197,1.45,19.7,30%,6/10,8/10,9/10,8/10,8/10,8/10,5/10
Sugar Quad ,4,110,8221,29.4,121.6,122.3,78.6,95.1,6798,1.21,22.7,161.9,163.3,85.9,115.5,5580,1.34,18.8,230.1,237,98.2,141.6,2493,1.44,18,60%,6/10,6/10,5/10,6/10,4/10,4/10,5/10
Callaway ERC Soft 2025,3,82,8088,29.8,119.7,119.8,78.2,94.9,7117,1.21,25.5,164.1,167.3,84.5,115.5,4827,1.37,15.3,225.6,237.1,98,142.5,2153,1.45,15,50%,6/10,4/10,5/10,8/10,6/10,6/10,5/10
Bridgestone Electron,2,60,8071,29,123.6,124.1,78.1,96.6,6960,1.24,23,165.1,166.8,84.5,117.3,5520,1.39,16.6,228.8,237.1,97,141.6,2331,1.46,16,10%,10/10,10/10,10/10,10/10,8/10,10/10,7/10
Titleist Pro V1,3,99,7769,27.8,124.1,124.6,78.7,96.7,6891,1.23,23.4,162.2,164.2,84.2,114.8,5268,1.36,17.8,225.6,237.3,97.1,141.3,1948,1.46,14.8,30%,8/10,4/10,10/10,8/10,8/10,4/10,3/10
Taylormade Tour Response 25,3,75,7907,29.3,121.1,121.2,78.2,95.7,7145,1.22,25.4,163.7,165,83.7,116.7,5716,1.39,17.9,228.7,237.3,97.3,141,2173,1.45,16.7,75%,8/10,8/10,9/10,10/10,6/10,6/10,4/10
Vice Junior Tour,2,60,8352,28.4,126.3,126.8,78.8,98.1,6988,1.24,22.1,172.9,178.3,84.7,117.4,3542,1.39,17.2,229.8,237.3,98.1,141.4,2244,1.44,16,5%,8/10,10/10,6/10,10/10,8/10,10/10,8/10
Maxfli Tour 2025,3,103,8078,29.8,122.4,122.8,77.9,95.8,6938,1.23,24.3,161.3,162.7,84.1,115.5,5736,1.37,17.4,229,237.8,96.4,140.2,2027,1.45,17.5,60%,8/10,6/10,10/10,8/10,6/10,6/10,9/10
Callaway SuperSoft 25,2,58,7219,27.4,123.9,124.2,79.2,97.2,7219,1.23,24,162.8,164.6,84.5,115.6,5416,1.37,17.7,229.1,237.9,98,141.3,2209,1.44,15.9,15%,6/10,6/10,9/10,8/10,8/10,8/10,5/10
Bridgestone E6 Soft,2,58,7610,28.7,122.9,123.4,78.9,95.8,6708,1.21,24.4,162.9,164.6,85.1,115.9,5509,1.36,16.8,230.1,238,97.5,141,2229,1.45,17.5,30%,8/10,4/10,8/10,6/10,4/10,8/10,4/10
Maxfli Straightfli,2,91,7968,34.1,119.4,119.2,78.8,95.5,7364,1.21,26.8,160.3,161.9,84.9,114.4,5525,1.35,17.3,228.9,238.6,98,141.3,2045,1.44,16.4,25%,4/10,4/10,10/10,8/10,6/10,4/10,9/10
Srixon Z Star Diamond,3,,8274,29.3,122.7,122.9,78.4,96.9,7364,1.24,24.5,164.2,165.6,84,116.9,5656,1.39,18.1,231,238.8,97.2,141.2,2200,1.45,17.8,85%,8/10,4/10,7/10,8/10,8/10,6/10,8/10
Bridgestone Tour B RX,3,,8373,26,124.5,125.1,79,96.6,6833,1.22,21.8,164.6,167.5,85.2,116,4873,1.36,15.6,229.3,239,99.1,143.6,2188,1.45,15,70%,4/10,4/10,7/10,6/10,6/10,4/10,8/10
Volvik Magma,3,55,8126,27.1,117.9,118.3,77.7,94.1,7847,1.21,21.4,156,157.9,85.4,112.6,5551,1.32,16.3,230,239.1,98,142.7,2256,1.46,15.5,15%,6/10,6/10,10/10,6/10,2/10,2/10,7/10
Srixon Z star XV,3,,8079,31.7,121.8,121.8,79.5,96.3,7244,1.22,26.2,163.1,164.3,84.9,116.6,5790,1.37,18.8,231.9,239.1,96.6,141.6,2254,1.47,18.6,75%,8/10,4/10,8/10,10/10,8/10,4/10,8/10
Athletic Works Golf Ball,2,,6577,33.2,117.2,117.6,78.4,93.1,6872,1.19,26,158.6,160.3,84.3,114,5654,1.35,16.9,229.6,239.1,97.3,141.8,2078,1.46,15.5,5%,6/10,4/10,5/10,6/10,6/10,2/10,9/10
Mizuno Pro X,3,110,8328,30.8,120.7,121,78.7,95.4,7071,1.21,25.2,162.4,163.6,84.3,116.3,5834,1.38,18.8,233.1,239.3,97.9,142.5,2437,1.45,19.4,75%,8/10,6/10,6/10,8/10,6/10,6/10,7/10
Bridgestone Distance Force,2,80,6528,35.6,112.9,113.1,77.9,90.7,7178,1.16,26,159.9,162.5,84.7,114.2,5249,1.35,15.2,231.3,239.3,98.8,143.8,2468,1.46,15.6,10%,6/10,4/10,9/10,8/10,6/10,2/10,7/10
Sugar Soft ,2,79,7549,30.7,123.5,124.6,78.8,95.5,6315,1.21,23.9,159.5,161.5,84.3,113.6,5344,1.35,17.6,231.2,239.3,96.9,141.4,2156,1.46,17.8,35%,8/10,4/10,7/10,6/10,6/10,4/10,3/10
Srixon Soft Feel,2,64,7972,28.3,121.7,122.4,78.9,94.8,6586,1.2,23.1,159.6,161.6,84.5,113.7,5329,1.35,17,231.3,239.4,97.4,141.8,2218,1.46,17.3,35%,4/10,4/10,8/10,6/10,6/10,2/10,5/10
Bridgestone Boom It,2,51,8131,29.7,129.1,129.8,78.5,97.4,6270,1.24,26.6,165.3,166.3,85.4,116.3,6086,1.36,19.7,233.9,239.5,97.5,142.2,3056,1.46,18.5,,,,,,,,
Snyder ProX,5,109,8917,25.7,121.3,121.7,78.8,95.8,7494,1.21,21.7,168.6,171,85.9,118,5028,1.37,16.6,232.5,239.7,98.9,144,2571,1.46,16.1,85%,8/10,6/10,6/10,8/10,6/10,6/10,4/10
Mizuno Pro S,3,93,8133,29.5,127.5,127.6,79.5,99.5,7003,1.25,25.3,164,165.1,85,116.5,5702,1.37,19.5,232,239.8,97.1,142.3,2266,1.47,18.3,90%,6/10,6/10,5/10,8/10,6/10,8/10,7/10
Maxfli Trifli,3,90,8329,30.5,116.8,116.9,77.6,93.3,7262,1.2,25.8,162.9,164.1,84.7,116.3,5695,1.37,19.2,231.2,239.8,96.9,140.7,1965,1.45,17.6,45%,10/10,8/10,9/10,6/10,4/10,8/10,10/10
Bridgestone Tour B X,3,,8182,24.5,120.1,120.5,79.4,94.9,7416,1.2,22.2,162.9,165.1,85.5,116.3,5464,1.36,14.8,229.4,239.8,98.3,143.8,2210,1.46,13.6,55%,6/10,6/10,5/10,6/10,6/10,6/10,8/10
Snell Get Sum,2,105,7863,27.1,120.8,121.7,77.8,94,6383,1.21,23,162.8,164.6,84.3,116.1,5576,1.38,16.3,231.6,240.1,96.8,142.9,2299,1.48,16,35%,6/10,6/10,6/10,6/10,4/10,6/10,6/10
Volvik XT Soft,3,75,8764,26.9,121.2,121.4,78.7,95.9,7432,1.22,23.8,163.3,165.3,85.4,116.4,5446,1.36,16.7,231.6,240.4,98.1,143.3,2216,1.46,15.5,15%,6/10,6/10,7/10,6/10,4/10,4/10,6/10
Volvik Power Soft,2,100,7525,30.7,122.8,123.5,78.9,96.4,7216,1.22,21.7,162.4,164,85.3,116.7,5743,1.37,16.6,232.4,240.7,97.6,143.6,2336,1.47,15.8,10%,8/10,6/10,8/10,8/10,8/10,8/10,7/10
Taylormade Distance +,2,92,7650,31.7,125.3,125.6,79,97.6,7085,1.24,24.5,163.8,164.9,84.1,116.7,5838,1.39,19.1,233.2,240.7,98.3,143.7,2457,1.46,16.5,10%,10/10,10/10,8/10,8/10,6/10,10/10,7/10
Titleist AVX (2024),3,85,8126,30.8,120.1,120.5,78.1,94.4,6882,1.21,24.5,157.8,159.3,84.4,113.2,5575,1.34,19.3,232.3,240.8,96.3,141.9,2089,1.47,17.4,30%,8/10,6/10,10/10,8/10,6/10,6/10,3/10
Snell 3.0,3,107,8217,26,120.4,120.5,78.8,95.6,7745,1.21,23,163.3,165.2,84.5,115.6,5297,1.37,17.7,233.9,240.9,98.6,144.1,2556,1.46,17.4,45%,8/10,8/10,6/10,10/10,8/10,8/10,6/10
Bridgestone E12 Splash WET,2,78,6523,31.6,122.5,123.7,78.1,94.5,6013,1.21,24.6,162.5,164.6,85.1,116,5465,1.36,15.5,231.1,240.9,97.2,142.6,1978,1.47,15.7,,,,,,,,
Volvik Crystal Soft,3,,8575,26.7,122.1,122.6,79,95.8,7106,1.21,23,161.8,163.2,84.6,115.8,5744,1.37,17.4,232.5,240.9,97.9,143.2,2278,1.46,15.9,10%,6/10,6/10,10/10,8/10,6/10,6/10,6/10
Srixon Ultispeed,3,92,7686,33,124.8,125.4,78.5,97,6958,1.24,21.8,164.7,166.2,84.4,117,5622,1.39,17.4,232.5,241.1,97.3,142.5,2130,1.47,17,45%,10/10,10/10,6/10,10/10,8/10,10/10,8/10
Callaway CXR Power,2,89,6428,33.8,117.5,117.9,80.1,93.6,7356,1.17,23.8,162.3,165.8,84.9,114.7,4791,1.35,15.2,231.7,241.1,98.9,143.9,2238,1.46,14.5,10%,6/10,4/10,9/10,8/10,6/10,2/10,7/10
Snyder Ace,3,107,8674,24.8,119.2,119.2,78.9,95.1,8103,1.21,20.5,161.2,164.4,84.9,114.7,4997,1.35,16.9,234.2,241.3,98.6,145.4,2629,1.47,15.9,85%,8/10,8/10,8/10,10/10,6/10,10/10,4/10
Inesis 500 Soft,2,75,7815,29.6,124,124.5,78.4,95.8,7252,1.22,23.3,166.1,167.3,85.5,116.9,6044,1.37,18.5,233.1,241.3,97.8,141.8,2635,1.45,16.3,65%,8/10,6/10,7/10,9/10,7/10,7/10,9/10
Titleist Pro V1X,4,110,8555,29,123,123.4,78.6,96.3,7073,1.23,23.7,164.1,165.6,85.1,116.4,5510,1.37,17.8,232.8,241.4,97.4,142.3,2099,1.46,17.2,40%,8/10,6/10,8/10,8/10,10/10,6/10,3/10
Volvik Vivid Combi,3,103,7066,29,120.3,120.5,78.4,95.3,7628,1.22,22.1,164.1,165.7,84.7,116.8,5574,1.38,16.7,231.7,241.4,98.7,145.7,2387,1.48,13.4,15%,6/10,6/10,10/10,6/10,6/10,6/10,6/10
Callaway Warbird Distance +,2,80,7513,30.3,124.4,125.4,79.8,96,6421,1.2,23.1,158.8,160.6,85.6,114.2,5716,1.33,16.2,231.5,241.4,97.4,142.7,2029,1.46,16,15%,10/10,8/10,10/10,8/10,4/10,8/10,8/10
Precept Laddie Extreme,2,97,6884,35.4,123.7,124,79.1,97.1,6953,1.23,25.3,163.7,165,84.4,117,5792,1.39,18,232.3,241.6,97.4,143.3,2138,1.47,16.5,5%,10/10,10/10,5/10,8/10,6/10,8/10,10/10
Penfold Hearts,4,,7581,30.6,119.9,120.4,76.9,94.4,7101,1.23,23,160.4,161.6,84.3,115.5,5900,1.37,18.7,231.8,241.7,97.3,143.9,2124,1.48,15.1,35%,8/10,8/10,6/10,6/10,4/10,8/10,4/10
Nitro Ultimate Distance,2,96,8495,28.3,121.4,121.8,79.6,95.6,7248,1.2,23.1,163.5,165.3,85.2,116.7,5592,1.37,15.8,233.2,241.9,97.5,142.8,2103,1.47,16.4,5%,4/10,6/10,6/10,10/10,6/10,4/10,9/10
Vice Pro Air,3,80,7716,29.2,127.7,128.3,78.3,98.5,6637,1.26,23.8,165.7,168,84.7,116,5019,1.37,17.8,233,241.9,99.7,143.5,2189,1.44,16.2,45%,8/10,8/10,9/10,8/10,8/10,6/10,9/10
Bigga Ball,2,67,7025,31.7,124.1,124.6,78.9,96.9,6740,1.23,24.8,168.2,169.6,85.7,119.1,5656,1.39,16.8,232,241.9,97.5,143.8,2106,1.48,14.6,5%,6/10,6/10,9/10,8/10,6/10,8/10,3/10
Volvik Vimat,2,95,7371,33.5,120.7,120.9,78.2,95.5,7604,1.22,22.4,167.7,170.4,84.8,117.5,4906,1.39,16.7,234.1,242,97.7,143.9,2353,1.47,16.3,10%,10/10,8/10,9/10,8/10,6/10,8/10,7/10
Pinnacle Distance,2,83,7910,30.2,120.8,121.1,79.3,95.3,7299,1.2,23.6,160.5,162.6,85.1,114,5245,1.34,16.9,231.1,242,98.9,145.1,2208,1.47,13.6,5%,8/10,6/10,10/10,6/10,4/10,2/10,8/10
Red Lobster Lobbie Pure,3,110,9155,25.8,123.1,123.5,78.6,96.9,7563,1.23,22.6,161.1,162.3,84.2,115.9,5981,1.38,17.1,233.6,242.2,97.6,146,2523,1.5,14.1,75%,9/10,9/10,9/10,5/10,2/10,5/10,9/10
Oncore Elixr,3,75,7593,29.4,120.6,120.8,78.7,95.3,7423,1.21,23.8,158.9,160.8,85.3,113.6,5411,1.33,17,232.9,242.2,97,142.7,2015,1.47,17,50%,6/10,4/10,6/10,6/10,4/10,4/10,7/10
Seed SD 05 Pro Feel,3,90,8156,26.1,125.8,126.2,78.7,97.8,7028,1.24,22.8,164.6,166.1,86.5,117.1,5619,1.35,16.8,232.9,242.4,98.4,145.6,2233,1.48,14.5,30%,5/10,7/10,7/10,8/10,6/10,6/10,8/10
Volvik Vivid Soft,3,82,6467,33.4,124.7,126,78.4,95.3,5411,1.22,27.5,164.5,167.1,85.2,115,4855,1.35,19.1,235.5,242.4,97.7,143.6,2322,1.47,18.2,25%,8/10,6/10,10/10,8/10,6/10,6/10,5/10
Maxfli Tour X 2025,4,113,7673,27.6,118.1,118.6,77.8,93.3,7010,1.2,23.6,163.3,165.2,84.3,115.6,5324,1.37,17.7,233.6,242.7,96.6,142,1872,1.47,17.4,85%,6/10,8/10,8/10,4/10,2/10,4/10,9/10
Volvik Condor,3,,8255,27.4,122.2,122.5,77.7,96,7140,1.24,24.1,160,161.3,83.8,114.7,5721,1.37,17.8,233.6,242.7,97.7,143.2,2035,1.47,16.2,50%,10/10,8/10,8/10,6/10,6/10,8/10,8/10
Callaway Superfast,2,80,8161,27.9,125.9,126.5,78.9,97.4,6675,1.23,23,165.9,168.4,84.9,116.9,5127,1.38,16.7,233.1,242.8,98.2,144.2,2163,1.47,14.7,20%,8/10,6/10,4/10,8/10,4/10,6/10,6/10
Snyder Pro ,5,115,8653,27.5,119.5,120.1,79,93.9,6927,1.19,21.1,163.2,166.1,85.3,116.4,5227,1.37,16.5,231.9,243,98.8,145.8,2143,1.48,13.3,80%,8/10,6/10,8/10,10/10,8/10,6/10,4/10
Volvik Axia,3,100,8057,34.6,122.5,122.8,78.9,96.3,7173,1.22,23.9,155.3,156.9,84.8,112.1,5621,1.32,17,235.1,243.1,97.7,145.1,2377,1.48,15.7,30%,4/10,4/10,6/10,6/10,6/10,2/10,6/10
Volvik Crystal Combi,3,103,8131,29.8,124.6,125.2,79.3,97.1,7038,1.22,22,163.2,165,85,116.4,5529,1.37,15.4,234.9,243.2,97.8,144.5,2283,1.48,15.9,15%,10/10,6/10,10/10,8/10,4/10,6/10,5/10
Amazon Basics Core Soft,2,60,8242,27.3,121.4,121.9,78.6,95.3,7114,1.21,23.2,160.6,162,84.5,115.1,5727,1.36,17.1,234.3,243.4,97.5,144.5,2205,1.48,15,35%,8/10,8/10,9/10,4/10,4/10,6/10,9/10
Top Flite Gamer,2,68,8070,29.9,122.1,122.5,78,95.8,7080,1.23,23.4,159.2,161.3,85,114.9,5655,1.35,16.6,235.7,243.5,97.5,144.7,2329,1.48,16.5,10%,8/10,8/10,10/10,8/10,6/10,8/10,10/10
Precept Power Drive,2,85,6958,31.5,124.9,125.2,78.9,97.5,7131,1.24,23.3,166.2,167.9,84.2,117.8,5504,1.4,17.3,235.5,243.7,98.1,145.5,2366,1.48,15.6,5%,6/10,10/10,7/10,6/10,4/10,6/10,8/10
Volvik Vista3,3,87,6655,29.5,122.1,123.1,79.2,96.5,7067,1.22,22.6,165.3,167.1,85.1,117.4,5465,1.38,15.9,234.7,243.9,98.8,145.3,2283,1.47,14.4,25%,6/10,6/10,9/10,8/10,4/10,6/10,7/10
Titleist Pro V1X-Left Dash,4,115,8281,28.4,121.1,121.6,78.3,94.8,6915,1.21,23,163.3,165,85.4,115.9,5463,1.36,17,234.4,244.2,98,144.2,2043,1.47,15.4,30%,10/10,6/10,8/10,8/10,4/10,4/10,3/10
