 ,Layers,  Compression ,50 Yard Spin,50 YD Launch,PW Carry,PW Distance,PW Club Speed,PW Ball Speed,PW Spin ,PW Smash Factor,PW Launch,7 Iron Carry,7 Iron Distance,7 Iron Club Speed,7 Iron Ball Speed,7 Iron Spin,7 Iron Smash,7 Iron Launch,Driver Carry,Driver Distance,Driver Club Speed,Driver Ball Speed,Driver Spin,Driver Smash,Driver Launch,Green Spin,Accuracy,Consistency,Durability,Feel,Miss Hit Feel,Forgiveness,Value
Sugar Pure (2025),3,102,8204,29.5,121.8,122,78.9,96.2,7236,1.22,24.8,162.3,163.6,84.9,115.8,5667,1.36,17.8,239,247.1,97.3,145,2100,1.49,17.5,50%,8/10,8/10,9/10,8/10,8/10,8/10,5/10
Taylormade TP5 X,5,110,8387,27.2,123.9,124.2,78.3,97.2,7112,1.24,24.3,161.8,162.9,83.9,115.9,5792,1.38,18.5,238.1,247.2,97.6,146.1,2114,1.5,15.6,65%,8/10,8/10,9/10,6/10,2/10,4/10,4/10
Taylormade TP5 2026,5,95,8105,25.9,127.2,128,78.2,96.4,6614,1.23,22.5,161.2,162.8,84.8,114.1,5936,1.35,16.5,236.6,247.6,97.7,144.4,2273,1.48,14.9,,,,,,,,
Nexgen Tour,3,105,8481,25.6,124.7,124.8,78.3,98.1,7446,1.25,23.8,167.8,169.9,84.2,118,5250,1.4,17,237.8,247.8,98.9,148.1,2244,1.5,13.8,75%,8/10,6/10,7/10,10/10,8/10,6/10,7/10
PXG Xtreme Tour X,3,110,8519,28.1,123.1,123.4,78.9,96.7,7153,1.23,24.3,164.9,166.1,85.1,117.7,5794,1.38,18.7,240,248,98.2,146.2,2176,1.49,16.9,35%,8/10,8/10,9/10,8/10,6/10,4/10,10/10
Diawings Ultra Distance,2,97,7551,28.9,126.5,126.9,78.4,98.3,7088,1.25,22.6,170.8,173.4,84.6,119,4985,1.41,16.8,238.5,248.1,97,145.7,1919,1.5,16.6,10%,6/10,4/10,6/10,8/10,6/10,6/10,3/10
Callaway Chrome Soft ,3,81,8464,25.5,127,127.4,78.8,98.8,7299,1.25,21.9,168,170.6,85.3,117.6,4976,1.38,16.1,239.4,248.1,98.5,147.1,2252,1.49,14.9,55%,8/10,8/10,10/10,8/10,6/10,10/10,7/10
Vice Moon Rock,3,90,7513,28.2,130.4,131.1,78.1,98.4,6670,1.26,24.2,165.9,167.6,84.8,115.6,5575,1.36,19.1,238.9,248.3,97.8,144.7,2449,1.48,15.2,,,,,,,,
Titleist Velocity,2,86,6344,35,134.7,135.7,78.5,99.7,5705,1.27,26.9,168.5,170,84.9,117.4,5705,1.38,17.8,238.1,248.4,97.9,144,2226,1.47,16,10%,6/10,5/10,9/10,6/10,5/10,6/10,3/10
Vice Pro Tan,3,82,7852,28.1,125.1,125.8,77.4,95.7,6861,1.24,23.4,167.4,169,84.4,116.6,5708,1.38,17.9,237.5,248.4,97.2,143.7,2145,1.48,15.2,,,,,,,,
Inesis 100 Distance,2,107,6348,32.9,126.8,127.8,78.7,95.6,5505,1.21,29.2,166.2,167.7,85,116.6,5936,1.37,17.2,239.3,248.7,97.8,144.7,2405,1.48,15.5,5%,3/10,4/10,5/10,6/10,5/10,2/10,9/10
Bridgestone Tour B RX 2026,3,81,8469,25.8,123.3,123.8,78.9,95.2,7236,1.21,23.9,163.8,165.3,85.2,115,5804,1.35,17.7,236.7,249,97.2,143.9,1989,1.48,14.7,30%,9/10,10/10,6/10,9/10,7/10,9/10,5/10
PXG Xtreme Tour ,3,100,8286,26.4,122,122.3,78.5,96.1,7165,1.22,24.6,166.4,168.5,84.7,117.1,5200,1.38,17.9,239.8,249.2,98.5,147.3,2047,1.5,15.4,30%,6/10,8/10,8/10,8/10,6/10,6/10,10/10
Bridgestone Tour B RXS 2026,3,70,8509,24.4,123.9,124.3,78.8,95.6,7167,1.21,24.4,167,168.6,84.9,116.7,5739,1.37,18,238.6,249.7,97.5,143.4,1988,1.47,15.9,25%,9/10,8/10,7/10,9/10,7/10,8/10,5/10
Wright and Ditson,4,105,8600,26.1,121.1,121.4,78.3,95.4,7228,1.22,23.8,160.7,162,84.5,115.4,5785,1.37,18.4,241.5,250,98.1,147.4,2162,1.5,16.1,65%,6/10,6/10,9/10,8/10,4/10,4/10,8/10
MG senior,2,107,8019,29.5,126.3,126.8,78.6,98,7048,1.25,21.9,170.7,172.3,85,120.4,5556,1.42,16,241.8,250.3,98.9,147.6,2101,1.49,16.5,5%,8/10,10/10,6/10,10/10,6/10,8/10,6/10
Clear Black,4,,8387,27.2,129.4,130,78.3,98.3,7061,1.26,22.1,169.8,171.5,84.5,117.8,5644,1.39,16.7,237.2,250.3,96.7,145.9,2016,1.51,14.3,55%,8/10,9/10,10/10,9/10,8/10,10/10,9/10
Tiger Cliff Tour,3,75,8343,29.1,129,129.4,77.5,98.3,7000,1.27,24.8,167.5,168.8,84.4,117,5918,1.39,18.2,244.1,250.4,97.8,145.9,2699,1.49,18.8,30%,7/10,4/10,10/10,8/10,7/10,9/10,8/10
Callaway Chrome Soft 2026,3,79,7935,30.2,128.5,129.3,78.6,96.7,6136,1.23,26,165.8,167.1,85.3,116,5878,1.36,18.7,241.2,250.5,98.2,145.3,2386,1.48,15.6,,,,,,,,
Mizuno RB Max,3,103,8122,29.1,128.3,128.7,78.9,98.1,7263,1.26,23.1,169.9,173.1,84.7,116,4786,1.36,17.4,241.2,250.9,98,144.7,2219,1.47,16,10%,6/10,6/10,7/10,8/10,6/10,8/10,7/10
Taylormade TP5X 2026,5,102,8384,27.2,124.3,124.9,77.6,95.4,7046,1.23,22.7,169.8,171.2,84.7,118.4,5881,1.4,18.2,242.7,251.3,98.5,146.2,2495,1.49,15.9,,,,,,,,
Vice Pro White,3,82,7520,28.2,126.7,127.1,77.9,97.2,7107,1.25,24.5,168.4,169.9,84.9,117.4,5777,1.38,17.6,243.2,251.7,98.2,146.4,2472,1.49,16.6,,,,,,,,
Vice Tour Sketch,3,103,8038,28.7,127,127.9,77.4,95.7,6152,1.24,24.7,165.2,166.5,84.6,115.9,5942,1.37,18.6,242,251.9,97.7,145.1,2177,1.48,15.9,,7/10,4/10,8/10,8/10,4/10,2/10,5/10
Wilson Staff Model,4,106,8167,27.9,125.3,125.7,78.2,96.4,7156,1.25,24.5,161.8,164.2,85.4,112.5,5187,1.34,18.6,243.1,252.1,97.6,145.5,2297,1.5,16.8,70%,6/10,4/10,8/10,6/10,4/10,4/10,8/10
Forgeway ,3,115,8266,27.9,124.9,125.4,78.4,95.9,7085,1.22,23.9,161.7,163.4,84.5,114.3,5864,1.35,17.2,242.8,252.3,97.8,144.6,2142,1.48,16.7,10%,8/10,6/10,10/10,4/10,4/10,3/10,8/10
Callaway Chrome Tour X 2026,4,,8131,28.2,126.1,127.2,78,96,6562,1.23,23.7,168,169.4,84.6,116.9,5733,1.38,18.7,242.6,252.3,98.6,146.1,2304,1.48,15.6,,,,,,,,
Callaway Triple Diamond 2026,4,,7784,27.2,128.1,129,79.1,96.2,6178,1.22,24,165.2,166.6,85.3,115.8,5898,1.36,18.2,242.4,252.7,98.8,146.9,2316,1.49,15,,,,,,,,
Tiger Cliff Ultra,4,105,8351,27.4,125.8,126.4,77.9,96.4,7102,1.24,23.3,164.1,165.6,84.4,115.4,5928,1.37,17.1,242.5,252.9,98.1,146.2,2180,1.49,15.9,70%,8/10,6/10,7/10,8/10,4/10,5/10,8/10
Callaway Chrome Tour 2026,4,91,8378,24,127.4,127.9,78.8,97.2,6963,1.23,24,167.3,168.7,84.4,116.5,5763,1.38,18.9,244,252.9,97.9,146.3,2400,1.49,15.9,,,,,,,,
Maxfli Revolution,3,85,7192,31.1,126.1,126.5,77.6,96.8,7063,1.25,25,169.2,170.8,84.1,117.7,5706,1.4,17.6,245.4,253.1,96.8,146.3,2294,1.49,18.9,5%,6/10,6/10,10/10,8/10,2/10,4/10,9/10
Bridgestone Tour B X 2026,3,105,8574,27,124.4,124.9,78.4,96.2,7342,1.23,24.1,167,168.5,84.6,116.8,5749,1.38,18.6,243.2,253.9,96.8,145.8,2050,1.51,15.8,40%,9/10,8/10,9/10,9/10,8/10,8/10,5/10
Clear Green,4,,8034,28,131,131.6,78.4,98.9,6853,1.26,22.9,175.1,176.7,84.8,120.5,5604,1.42,18.7,248.3,254.8,98.4,146.9,2433,1.49,19.7,65%,7/10,8/10,10/10,10/10,8/10,8/10,9/10
Tiger Cliff Pro,3,84,8567,28.1,129.3,129.8,78.8,98.4,7061,1.25,24,165.2,166.5,84.9,116.1,6012,1.37,18.1,245.3,255.1,98.6,146.2,2135,1.48,18.1,50%,8/10,8/10,8/10,9/10,8/10,8/10,7/10
Red Lobster Bold White,3,115,6119,33.6,123.9,124.9,76.5,95.4,6886,1.25,23.8,168.7,170.1,83.9,117.7,5847,1.4,18.3,245.5,255.4,97.5,147.4,2171,1.51,16.3,65%,4/10,4/10,10/10,6/10,2/10,2/10,7/10
Bridgestone Tour B XS 2026,3,90,8368,28.3,123.8,124.3,78.6,95.5,7243,1.22,23.9,167.3,168.8,84.8,116.7,5766,1.38,18.6,244.8,255.5,97.1,145.8,1976,1.5,16,65%,7/10,6/10,9/10,10/10,9/10,8/10,5/10
Callaway Chrome Tour X,4,110,8576,28.1,125.3,125.5,78.7,97,7685,1.25,23.7,165.5,167.4,84.6,115.7,5648,1.4,16.7,250.3,260,98.2,147.7,1972,1.5,17.1,80%,6/10,6/10,6/10,8/10,6/10,6/10,7/10
